"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000189057",49.3450236044473,-2.41658053453934,0.482674976065737,-5.00664143444265,5.538796714888e-07,2.07807924189042e-05,"FAM111B","374393"
"ENSG00000230937",81.149440881333,-3.58725809635409,0.717745636975284,-4.99795179734073,5.79424636861832e-07,2.16385594131758e-05,"MIR205HG","642587"
"ENSG00000007968",145.956939513081,-2.62560155728672,0.525579700153778,-4.99562969520797,5.86440954843254e-07,2.18500044445409e-05,"E2F2","1870"
"ENSG00000093009",54.1421802470706,-2.21596347294393,0.444159614740756,-4.98911517256544,6.06564774825296e-07,2.25477177701763e-05,"CDC45","8318"
"ENSG00000111537",30.7658231306089,-3.81816989547099,0.77130204924414,-4.95029139260387,7.41024478103453e-07,2.71703361482795e-05,"IFNG","3458"
"ENSG00000105255",36.6250067814898,-2.41248511229823,0.488509512665249,-4.938460868727,7.87415745373632e-07,2.87732236016145e-05,"FSD1","79187"
"ENSG00000121807",336.837714525256,-2.50640969654313,0.507708003529915,-4.9367149604043,7.94494584412512e-07,2.89662850402871e-05,"CCR2","729230"
"ENSG00000143228",67.5209999015166,-2.10555497769954,0.428142821728035,-4.91787990092014,8.74865573640793e-07,3.16107643886829e-05,"NUF2","83540"
"ENSG00000012124",2713.49911668678,-3.06979217638382,0.626635576828412,-4.89884757568498,9.64003888965526e-07,3.46761978610498e-05,"CD22","933"
"ENSG00000248329",4.88620746689841,-5.62942461657106,1.14983355787594,-4.89586042954787,9.78765177280393e-07,3.51288511792315e-05,"APELA","100506013"
"ENSG00000168685",3193.54376357382,-2.95401133799122,0.603580861784541,-4.89414347773954,9.87347893822533e-07,3.5358232122173e-05,"IL7R","3575"
"ENSG00000179813",11.0620842794443,-4.76112615645529,0.972811691577489,-4.89419092890912,9.87109723972704e-07,3.5358232122173e-05,"FAM216B","144809"
"ENSG00000143869",43.2338827956256,-2.43821113052671,0.498716626950396,-4.88897100831816,1.01364420978127e-06,3.61394962130413e-05,"GDF7","151449"
"ENSG00000265148",43.2230113061569,-2.02846153615221,0.416590312558778,-4.86919996697236,1.12050974027999e-06,3.97300739339277e-05,"TSPOAP1-AS1","100506779"
"ENSG00000120332",270.605127649546,2.57370343379696,0.530163247513107,4.85454894481974,1.20661066542097e-06,4.25667021695233e-05,"TNN","63923"
"ENSG00000189238",34.0702768351081,-2.45023240936131,0.504737643351818,-4.85446734879931,1.20710755857912e-06,4.25667021695233e-05,"LINC00943","100507206"
"ENSG00000223823",10.3395667111049,-2.52031932127271,0.519450133283261,-4.85189849763376,1.22285207191755e-06,4.30748307341611e-05,"LINC01342","254099"
"ENSG00000131747",311.352710190538,-2.23070178914875,0.460285631793124,-4.84634243406352,1.25758379169227e-06,4.42017414191097e-05,"TOP2A","7153"
"ENSG00000260101",25.3499067902149,-2.34205854111951,0.484054524075196,-4.83841886530056,1.30876100890154e-06,4.59005246882795e-05,"LOC101927402","101927402"
"ENSG00000234965",7.20504243901954,-5.43397149495948,1.12450446434651,-4.83232540843435,1.3494744192113e-06,4.72770267212508e-05,"SHISA8","440829"
"ENSG00000165480",25.0816001552815,-2.45378279490693,0.508351673416056,-4.82693954446502,1.3864718694404e-06,4.83631365830962e-05,"SKA3","221150"
"ENSG00000230709",9.90336408845101,-4.01513771814249,0.831791735359973,-4.82709498959481,1.3853905209041e-06,4.83631365830962e-05,"LOC284191","284191"
"ENSG00000109101",65.9623557626671,-2.11482292307464,0.438823110653626,-4.81930616626962,1.44058336847267e-06,5.01963962928067e-05,"FOXN1","8456"
"ENSG00000189430",12.9382536908062,-2.41222688478592,0.5006256498199,-4.81842447675966,1.44696276252782e-06,5.03642939543932e-05,"NCR1","9437"
"ENSG00000152495",392.694956321695,-2.64711020745049,0.550972006222215,-4.80443684535013,1.55187673802483e-06,5.37839471848647e-05,"CAMK4","814"
"ENSG00000214894",23.7567968261209,-3.11156643878392,0.649295693360706,-4.79221789178776,1.64947617837749e-06,5.63792355630594e-05,"LINC00243","401247"
"ENSG00000158477",22.991171944041,-5.08800727373356,1.06621273534707,-4.77203761037174,1.82371437269648e-06,6.18108907031772e-05,"CD1A","909"
"ENSG00000136492",40.7392972825947,-2.25236671316186,0.472115630844823,-4.77079462319726,1.83500566934734e-06,6.20632001332926e-05,"BRIP1","83990"
"ENSG00000179583",3030.62834524992,-2.01004768024816,0.42209315606493,-4.76209493417836,1.9159350605879e-06,6.45972420741161e-05,"CIITA","4261"
"ENSG00000173585",8.8188442704769,-2.59473500297826,0.545701094811631,-4.75486493915488,1.98579127420041e-06,6.68128688773205e-05,"CCR9","10803"
"ENSG00000050730",19.3155059362796,-3.12268800483606,0.658627710194309,-4.74120350009992,2.12452402884222e-06,7.08538265328429e-05,"TNIP3","79931"
"ENSG00000186891",184.161798696333,-2.74545286974821,0.57925999328949,-4.73958654413087,2.14154752321287e-06,7.12718993892305e-05,"TNFRSF18","8784"
"ENSG00000129204",428.142124556366,2.08602168202847,0.440136765468622,4.73948519117107,2.14261893037729e-06,7.12718993892305e-05,"USP6","9098"
"ENSG00000177272",229.307604369041,-2.07839952746722,0.439332759282272,-4.73080935476483,2.23626460829424e-06,7.41575681924171e-05,"KCNA3","3738"
"ENSG00000100985",292.173474727852,-2.79998734562583,0.593871733425456,-4.71480151021077,2.41946488766755e-06,8.00681580158782e-05,"MMP9","4318"
"ENSG00000166428",129.301487979911,-2.51200211627742,0.534268942408494,-4.70175583284567,2.57933826722278e-06,8.5010141501747e-05,"PLD4","122618"
"ENSG00000129810",25.653662315349,-2.46278727303206,0.524923488465834,-4.69170712903308,2.7093478494807e-06,8.90222176286601e-05,"SGO1","151648"
"ENSG00000006128",298.528899900561,3.0919912880835,0.663922163878917,4.65715931219823,3.20602351762775e-06,0.00010417477826765,"TAC1","6863"
"ENSG00000170486",52.5294617027619,-3.4179673323385,0.735742975741816,-4.64559967955158,3.39089993190945e-06,0.000109520297500491,"KRT72","140807"
"ENSG00000246084",10.333704960308,-3.55707271217978,0.766599459278062,-4.64006681602622,3.48296546496885e-06,0.000112045228008659,"LINC02325","101929241"
"ENSG00000261448",8.99045220074632,-2.89349751693189,0.624104564715037,-4.63623834934303,3.5480681909201e-06,0.000113616877511056,"LOC102723692","102723692"
"ENSG00000239961",14.3350438300346,-2.52203721754284,0.543992803147738,-4.63615916046946,3.54942702941623e-06,0.000113616877511056,"LILRA4","23547"
"ENSG00000024526",36.1987784298803,-2.29982417662479,0.496283002100443,-4.63409821994937,3.58496765002979e-06,0.000114640799004818,"DEPDC1","55635"
"ENSG00000105366",66.1265532264622,-3.06457146166733,0.663897684890812,-4.61602974586566,3.91150906908642e-06,0.000124466224480417,"SIGLEC8","27181"
"ENSG00000255833",22.38446389446,-3.5597657219804,0.771966801920024,-4.61129379285043,4.00170494272095e-06,0.000126587266354739,"TIFAB","497189"
"ENSG00000158488",77.1755249168467,-3.71462261095923,0.809585829993503,-4.58829993478152,4.46870285211856e-06,0.00013976375661887,"CD1E","913"
"ENSG00000164512",80.7925638237566,-3.79072520636116,0.827396053946397,-4.58151230995205,4.61625425952816e-06,0.000144189796648534,"ANKRD55","79722"
"ENSG00000187808",29.0419628155735,-2.46907048437745,0.539389018825152,-4.57753198193644,4.7049387551729e-06,0.000146534318411591,"SOWAHD","347454"
"ENSG00000179873",8.87834037198238,-3.97375595317458,0.868966104871173,-4.57297002828861,4.80858945320294e-06,0.000149473937665748,"NLRP11","204801"
"ENSG00000058335",38.674300216886,-2.00353558475187,0.439443243123144,-4.55925905359848,5.13344163781601e-06,0.00015895933578289,"RASGRF1","5923"
"ENSG00000166736",39.6285965398078,-4.36344457055031,0.958083855665522,-4.55434515960954,5.25490140472679e-06,0.000162408667361029,"HTR3A","3359"
"ENSG00000187510",24.6449884097551,-6.04831489260931,1.32819646966953,-4.55378028080002,5.26903891786439e-06,0.000162534234917603,"C12orf74","338809"
"ENSG00000145850",134.79190476491,-2.99785743316942,0.659363853984934,-4.54659049787391,5.45219323979479e-06,0.000167383888749019,"TIMD4","91937"
"ENSG00000127564",80.2993069714943,-2.06799173432076,0.455896456472163,-4.53609960104401,5.73041254692906e-06,0.000175092321249255,"PKMYT1","9088"
"ENSG00000166268",25.3166049544062,-2.73858743249863,0.604091702539596,-4.53339686836556,5.80426119837697e-06,0.000177013508342941,"MYRFL","196446"
"ENSG00000263413",2.00174828658131,-4.96558898341947,1.09558995165764,-4.53234257571135,5.83331461895286e-06,0.000177563895750125,"MIR4538","100616276"
"ENSG00000185697",348.586128605604,-2.19015319630601,0.483575501415378,-4.52908220101235,5.92404503134291e-06,0.000180155737022913,"MYBL1","4603"
"ENSG00000172724",3885.91337819909,-3.59927082289112,0.795669242146921,-4.52357667261256,6.08032787764455e-06,0.000184560544967149,"CCL19","6363"
"ENSG00000236977",3.03639426104654,-3.61218212868524,0.799256139260128,-4.51942994398397,6.20063607889897e-06,0.000187981923779047,"ANKRD44-IT1","101927547"
"ENSG00000090889",59.9662022602879,-2.10975327048561,0.46683276608176,-4.5192913260851,6.20469685813813e-06,0.000187981923779047,"KIF4A","24137"
"ENSG00000188886",10.6309135065767,-3.67490212052045,0.813259639363921,-4.51873170958629,6.22111658314077e-06,0.000188302577553115,"ASTL","431705"
"ENSG00000105639",3460.32505036429,-2.03277510734056,0.450255636959964,-4.51471328835649,6.34024836473741e-06,0.000191369928659137,"JAK3","3718"
"ENSG00000114013",222.884385356641,-2.00177612963586,0.443586459463127,-4.51270792183018,6.40051373141978e-06,0.000193008388839243,"CD86","942"
"ENSG00000107593",6.77234997662866,-3.25640369692155,0.722447742833268,-4.50745916119928,6.56085534261403e-06,0.000197106665255851,"PKD2L1","9033"
"ENSG00000113249",13.225336547095,-3.53378790272005,0.786342329028541,-4.49395609554142,6.99120483929619e-06,0.000208868717911788,"HAVCR1","26762"
"ENSG00000159337",7.06299019128472,-3.341068736137,0.750389585703029,-4.45244550270085,8.48977917089235e-06,0.000248126100297113,"PLA2G4D","283748"
"ENSG00000204277",7.22836052874443,-3.31913435052135,0.753005388638487,-4.40784940001916,1.04402095294441e-05,0.000297845977610117,"LINC01993","100996291"
"ENSG00000253364",31.169493005869,-3.04866368393766,0.691814125177925,-4.40676703898404,1.04924930921177e-05,0.000299073129072676,"COPDA1","115253418"
"ENSG00000125084",13.216405883221,-2.19072152420774,0.497853126865311,-4.40033697890264,1.08082900986417e-05,0.00030671969069725,"WNT1","7471"
"ENSG00000233308",2.49248876503125,-4.59194236722788,1.0465082457623,-4.38787022063357,1.14466040843415e-05,0.000323231879823023,"OSTN-AS1","106480738"
"ENSG00000148204",84.1694000088797,-2.26277819890245,0.517098381842557,-4.37591429089293,1.20924526803145e-05,0.000340170076881455,"CRB2","286204"
"ENSG00000228590",6.4330660829172,-4.13746952080334,0.946721160015482,-4.3703148250491,1.24067528936103e-05,0.000348404080822654,"MIR4432HG","106660609"
"ENSG00000148600",177.706284389584,-2.23882988718999,0.512676438865834,-4.36694514798229,1.25996352972976e-05,0.000352287549828946,"CDHR1","92211"
"ENSG00000254211",7.6119649204466,-3.15456034744963,0.72451130317858,-4.35405263328526,1.33643597372789e-05,0.000371736578692277,"LINC01485","101928154"
"ENSG00000142512",374.649408231539,-2.52896195665901,0.583281365129074,-4.33574961905286,1.45264220932027e-05,0.000400606440392544,"SIGLEC10","89790"
"ENSG00000124721",47.0468044581478,-3.06844257728626,0.708062737476259,-4.33357443469358,1.46707645563759e-05,0.000404241579142633,"DNAH8","1769"
"ENSG00000161270",22.8219090169422,-3.82401885793072,0.883055271413755,-4.33044111928412,1.48810934494803e-05,0.000408293674524602,"NPHS1","4868"
"ENSG00000186049",10.7180259488579,-2.5483073391779,0.588708541181978,-4.32863999910982,1.50032947473319e-05,0.000410947630150604,"KRT73","319101"
"ENSG00000133105",15.2542229852768,3.92497587352285,0.907017090103985,4.32734500413093,1.50917474269219e-05,0.000413019781575116,"RXFP2","122042"
"ENSG00000174885",60.3255077741874,-2.52512473581144,0.586025545320526,-4.30889874336507,1.64069458082879e-05,0.000447116987711333,"NLRP6","171389"
"ENSG00000169575",2.94461725649228,-5.00835355946732,1.16476564537741,-4.29988090681066,1.70889918515e-05,0.000462346134357088,"VPREB1","7441"
"ENSG00000155307",398.076946370824,-2.09802826638039,0.490041576754625,-4.28132706672544,1.85782068208078e-05,0.000499953645771629,"SAMSN1","64092"
"ENSG00000162366",102.342886723012,-2.20046187616484,0.51507886205521,-4.2720873215119,1.93651710600226e-05,0.000518967283573662,"PDZK1IP1","10158"
"ENSG00000181143",385.074671137406,-3.50611208600625,0.822513565248801,-4.26267995342508,2.01989717006302e-05,0.000539073631838325,"MUC16","94025"
"ENSG00000214999",15.2998874228154,-2.45371142661556,0.57577663535722,-4.26156824702211,2.02997341037642e-05,0.000541315058340542,"LOC107985075","107985075"
"ENSG00000260228",8.65693651240459,-2.42789865353332,0.570729504935657,-4.25402687707031,2.09960083479663e-05,0.000557577946794633,"LOC102724163","102724163"
"ENSG00000236081",5.19015065799063,-4.30831739496475,1.01417439197294,-4.24810311625352,2.15588165412652e-05,0.0005711139363879,"ELFN1-AS1","101927125"
"ENSG00000232629",334.741144284111,-2.63508231237735,0.62178889565173,-4.23790506843223,2.25615122211916e-05,0.000595232831830717,"HLA-DQB2","3120"
"ENSG00000253633",6.93318580173651,-3.84713028895417,0.908450859523155,-4.2348248654567,2.2872989792705e-05,0.000602409166587671,"LOC107986898","107986898"
"ENSG00000122025",84.0014031187461,-2.44184233686335,0.577076362343106,-4.23140245590501,2.32238706334164e-05,0.000610212874477047,"FLT3","2322"
"ENSG00000057294",126.291194891803,-2.07758559735236,0.491245138038731,-4.22922373470607,2.34499048081608e-05,0.000615150104504159,"PKP2","5318"
"ENSG00000170858",3.80079075655528,-2.75493061456184,0.652453812815429,-4.22241476783457,2.41698808948363e-05,0.000632494222994963,"LILRP2","79166"
"ENSG00000164112",14.2353678779313,-2.57839580982892,0.613120080640741,-4.20536839559123,2.606572291263e-05,0.00067553141807142,"TMEM155","132332"
"ENSG00000105492",17.0545591886068,-2.82489933892126,0.674251303322026,-4.18968317154602,2.79344211473859e-05,0.000717403059624526,"SIGLEC6","946"
"ENSG00000164485",3.88364359827897,-5.8339850207631,1.39367758941323,-4.18603632940626,2.83867933739036e-05,0.000727504586975674,"IL22RA2","116379"
"ENSG00000167769",12.8989035150204,-2.06318756956068,0.492933592602824,-4.18552843734282,2.84503445799179e-05,0.000728554617631453,"ACER1","125981"
"ENSG00000116147",42.6539173458856,-2.57731818433987,0.616267587414125,-4.1821413895129,2.88776284093981e-05,0.000738910038269342,"TNR","7143"
"ENSG00000131650",14.0126728490217,-2.48130689396261,0.593631884898846,-4.17987469521692,2.91669767002656e-05,0.000745722401117884,"KREMEN2","79412"
"ENSG00000102245",114.277215003261,-2.45660575417989,0.588077787952034,-4.17734831090111,2.94927219692913e-05,0.000752857727105343,"CD40LG","959"
"ENSG00000115163",29.3030012800137,-2.17266168245719,0.52057772826097,-4.17355865322001,2.9987841318272e-05,0.000763081772851234,"CENPA","1058"
"ENSG00000266913",2.97518325812656,-3.72553954013771,0.899119384480426,-4.14354267569328,3.41981395821609e-05,0.000857371539827509,"LINC01841","105372288"
"ENSG00000213231",4.12836496839394,-3.80935199801885,0.921039994925561,-4.13592462760178,3.5352822499158e-05,0.000882207401978216,"TCL1B","9623"
"ENSG00000091181",12.8850074607236,-2.50378605550329,0.60770454992526,-4.12007126787387,3.78755226434745e-05,0.000942244883280146,"IL5RA","3568"
"ENSG00000181074",40.5992065054619,-2.50234441291305,0.607547960715054,-4.1187602867894,3.80916143645185e-05,0.000946161685208278,"OR52N4","390072"
"ENSG00000144218",372.431895254427,-2.06481052043918,0.501480335300032,-4.11743068490177,3.83119704328424e-05,0.000950903106143148,"AFF3","3899"
"ENSG00000203721",5.52805747554432,-2.00620303364698,0.487364180453704,-4.1164351302538,3.8477756187343e-05,0.000954283844074411,"LINC00862","554279"
"ENSG00000110848",1023.97240327596,-2.32212335880145,0.564433435252528,-4.11407831954982,3.88729448373821e-05,0.000963344422521484,"CD69","969"
"ENSG00000073734",8.91752541103344,-2.50080346916981,0.608893632455194,-4.10712698552294,4.00611007320099e-05,0.000988991183029099,"ABCB11","8647"
"ENSG00000137673",23.6046008420043,-3.21221737944088,0.782296350392432,-4.10613877698585,4.02327823162243e-05,0.000991711958911607,"MMP7","4316"
"ENSG00000158481",146.382324976235,-2.60410234636739,0.635099872959832,-4.10030368016163,4.12608335735758e-05,0.00101547220909815,"CD1C","911"
"ENSG00000144460",7.44473246574562,-3.9738456373752,0.969277895906146,-4.09980012353442,4.13507110587809e-05,0.00101547220909815,"NYAP2","57624"
"ENSG00000225362",35.2490439319627,2.20587205685854,0.538067219279775,4.09962171605844,4.13825987238271e-05,0.00101547220909815,"CT62","196993"
"ENSG00000167634",6.51241324293493,-2.5515396103993,0.625698881348193,-4.07790342361089,4.54436343130811e-05,0.0011041297475496,"NLRP7","199713"
"ENSG00000237484",15.3587656501259,-2.06157041990695,0.506223705038265,-4.07244939221311,4.65213103808695e-05,0.00112270501177946,"LINC01684","105372751"
"ENSG00000231621",6.57724096791728,-3.54807404302748,0.875080308094699,-4.05456963230342,5.02266877335077e-05,0.00120312866103145,"ANKRD44-AS1","101927596"
"ENSG00000143552",143.989352799377,3.59389953378301,0.893086330849262,4.0241345205289,5.71852251393526e-05,0.0013497721099827,"NUP210L","91181"
"ENSG00000169413",401.362235929907,-2.03554587315553,0.505816667146892,-4.02427599833202,5.71508617137232e-05,0.0013497721099827,"RNASE6","6039"
