"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue"
"GO:0007204","GO:0007204","positive regulation of cytosolic calcium ion concentration","37/547","319/18670",9.6234947502916e-13,6.07332739006684e-11,4.99535352498689e-11
"GO:1903706","GO:1903706","regulation of hemopoiesis","46/547","475/18670",1.12327997506909e-12,6.97988895277545e-11,5.74100664181059e-11
"GO:0032649","GO:0032649","regulation of interferon-gamma production","21/547","101/18670",1.26804199326929e-12,7.76003274365856e-11,6.3826802723411e-11
"GO:0046634","GO:0046634","regulation of alpha-beta T cell activation","20/547","93/18670",2.24396305598449e-12,1.35274131091363e-10,1.11263902665939e-10
"GO:0045061","GO:0045061","thymic T cell selection","11/547","21/18670",3.34357366328146e-12,1.95801255921537e-10,1.61047878888305e-10
"GO:0001912","GO:0001912","positive regulation of leukocyte mediated cytotoxicity","16/547","56/18670",3.34495832101661e-12,1.95801255921537e-10,1.61047878888305e-10
"GO:0001906","GO:0001906","cell killing","26/547","168/18670",3.68236011515284e-12,2.10206918408492e-10,1.72896635305039e-10
"GO:0030595","GO:0030595","leukocyte chemotaxis","30/547","224/18670",3.69514513666821e-12,2.10206918408492e-10,1.72896635305039e-10
"GO:1990868","GO:1990868","response to chemokine","20/547","97/18670",5.15212224854291e-12,2.8506057208034e-10,2.34464279976949e-10
"GO:1990869","GO:1990869","cellular response to chemokine","20/547","97/18670",5.15212224854291e-12,2.8506057208034e-10,2.34464279976949e-10
"GO:0051480","GO:0051480","regulation of cytosolic calcium ion concentration","38/547","357/18670",6.67752620779187e-12,3.64466599368532e-10,2.99776283240272e-10
"GO:0070098","GO:0070098","chemokine-mediated signaling pathway","19/547","88/18670",7.41752842576101e-12,3.99458630821983e-10,3.28557469637919e-10
"GO:0002695","GO:0002695","negative regulation of leukocyte activation","26/547","175/18670",9.58114644978656e-12,5.09187506719578e-10,4.1881022431477e-10
"GO:0035710","GO:0035710","CD4-positive, alpha-beta T cell activation","19/547","92/18670",1.70779068965795e-11,8.95813843575123e-10,7.36813043959054e-10
"GO:0046635","GO:0046635","positive regulation of alpha-beta T cell activation","16/547","62/18670",1.86588895240119e-11,9.66195574198512e-10,7.94702501184635e-10
"GO:0002440","GO:0002440","production of molecular mediator of immune response","33/547","286/18670",1.93678522408172e-11,9.90212091147602e-10,8.14456251459281e-10
"GO:0060326","GO:0060326","cell chemotaxis","34/547","304/18670",2.27114945031111e-11,1.14664657872582e-09,9.43124692787088e-10
