"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue"
"GO:0043254","GO:0043254","regulation of protein complex assembly","26/547","467/18670",0.00141362912173431,0.0141678610984736,0.0116531631401162
"GO:0070372","GO:0070372","regulation of ERK1 and ERK2 cascade","19/547","300/18670",0.00143231137588449,0.0143195684336571,0.0117779434661059
"GO:0006949","GO:0006949","syncytium formation","7/547","58/18670",0.00147060378169826,0.0146299721041362,0.0120332526187185
"GO:0061900","GO:0061900","glial cell activation","7/547","58/18670",0.00147060378169826,0.0146299721041362,0.0120332526187185
"GO:0042088","GO:0042088","T-helper 1 type immune response","6/547","43/18670",0.0014929837362993,0.0147798071345904,0.0121564929611986
"GO:0050850","GO:0050850","positive regulation of calcium-mediated signaling","6/547","43/18670",0.0014929837362993,0.0147798071345904,0.0121564929611986
"GO:0150076","GO:0150076","neuroinflammatory response","8/547","75/18670",0.0015538173870924,0.015344421580602,0.0126208922240732
"GO:0042095","GO:0042095","interferon-gamma biosynthetic process","4/547","18/18670",0.00160768637079214,0.0157607894457026,0.0129633576551354
"GO:0051023","GO:0051023","regulation of immunoglobulin secretion","4/547","18/18670",0.00160768637079214,0.0157607894457026,0.0129633576551354
"GO:0051782","GO:0051782","negative regulation of cell division","4/547","18/18670",0.00160768637079214,0.0157607894457026,0.0129633576551354
"GO:0042130","GO:0042130","negative regulation of T cell proliferation","7/547","59/18670",0.00162722429113393,0.0159137019658352,0.0130891292540301
"GO:0001782","GO:0001782","B cell homeostasis","5/547","30/18670",0.00164660522889756,0.0159871118257626,0.0131495093684228
"GO:0050690","GO:0050690","regulation of defense response to virus by virus","5/547","30/18670",0.00164660522889756,0.0159871118257626,0.0131495093684228
"GO:0090022","GO:0090022","regulation of neutrophil chemotaxis","5/547","30/18670",0.00164660522889756,0.0159871118257626,0.0131495093684228
"GO:0045910","GO:0045910","negative regulation of DNA recombination","6/547","44/18670",0.00168661584190643,0.0163363102768827,0.013436727494779
"GO:0032874","GO:0032874","positive regulation of stress-activated MAPK cascade","13/547","172/18670",0.00170528449307931,0.0164382913306619,0.0135206076125067
"GO:0140013","GO:0140013","meiotic nuclear division","13/547","172/18670",0.00170528449307931,0.0164382913306619,0.0135206076125067
"GO:0043122","GO:0043122","regulation of I-kappaB kinase/NF-kappaB signaling","16/547","237/18670",0.00174060734015195,0.0167388405877946,0.0137678114424049
"GO:0070304","GO:0070304","positive regulation of stress-activated protein kinase signaling cascade","13/547","173/18670",0.0017959058937373,0.0171946222359986,0.014142694980991
"GO:0045576","GO:0045576","mast cell activation","7/547","60/18670",0.00179651660896048,0.0171946222359986,0.014142694980991
"GO:0042116","GO:0042116","macrophage activation","9/547","95/18670",0.00187336000896373,0.0178877094000106,0.0147127639375128
"GO:0002724","GO:0002724","regulation of T cell cytokine production","5/547","31/18670",0.00191659305831356,0.0182143985000669,0.0149814679678949
"GO:0007202","GO:0007202","activation of phospholipase C activity","5/547","31/18670",0.00191659305831356,0.0182143985000669,0.0149814679678949
"GO:0002920","GO:0002920","regulation of humoral immune response","11/547","134/18670",0.00197808492995408,0.0186889528423508,0.0153717921764009
"GO:0050701","GO:0050701","interleukin-1 secretion","7/547","61/18670",0.00197916107627948,0.0186889528423508,0.0153717921764009
"GO:0002544","GO:0002544","chronic inflammatory response","4/547","19/18670",0.00198966321421413,0.0186889528423508,0.0153717921764009
"GO:0060252","GO:0060252","positive regulation of glial cell proliferation","4/547","19/18670",0.00198966321421413,0.0186889528423508,0.0153717921764009
"GO:0071800","GO:0071800","podosome assembly","4/547","19/18670",0.00198966321421413,0.0186889528423508,0.0153717921764009
"GO:0032612","GO:0032612","interleukin-1 production","10/547","115/18670",0.00204347647723129,0.0191498874513624,0.0157509140606715
"GO:1903707","GO:1903707","negative regulation of hemopoiesis","12/547","155/18670",0.00207095407277401,0.0193624618054033,0.0159257579280574
"GO:1900015","GO:1900015","regulation of cytokine production involved in inflammatory response","6/547","46/18670",0.00213042157098247,0.0198724543307118,0.0163452302856951
"GO:0035587","GO:0035587","purinergic receptor signaling pathway","5/547","32/18670",0.00221756505891203,0.0206376619192297,0.0169746187871122
"GO:0050764","GO:0050764","regulation of phagocytosis","9/547","98/18670",0.00232316095438619,0.0215706829764731,0.0177420350200673
"GO:0033045","GO:0033045","regulation of sister chromatid segregation","8/547","80/18670",0.00235137126894434,0.0217825425579499,0.0179162909821061
"GO:0033630","GO:0033630","positive regulation of cell adhesion mediated by integrin","4/547","20/18670",0.00243005480492314,0.0222562162292167,0.0183058908326469
"GO:0042535","GO:0042535","positive regulation of tumor necrosis factor biosynthetic process","4/547","20/18670",0.00243005480492314,0.0222562162292167,0.0183058908326469
"GO:0043371","GO:0043371","negative regulation of CD4-positive, alpha-beta T cell differentiation","4/547","20/18670",0.00243005480492314,0.0222562162292167,0.0183058908326469
"GO:1900017","GO:1900017","positive regulation of cytokine production involved in inflammatory response","4/547","20/18670",0.00243005480492314,0.0222562162292167,0.0183058908326469
"GO:1903978","GO:1903978","regulation of microglial cell activation","4/547","20/18670",0.00243005480492314,0.0222562162292167,0.0183058908326469
"GO:0070588","GO:0070588","calcium ion transmembrane transport","19/547","315/18670",0.00249006918651016,0.0227542747608927,0.0187155473984903
"GO:0002291","GO:0002291","T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell","3/547","10/18670",0.00257341164354825,0.0232528179603834,0.0191256026069428
"GO:0048304","GO:0048304","positive regulation of isotype switching to IgG isotypes","3/547","10/18670",0.00257341164354825,0.0232528179603834,0.0191256026069428
"GO:0072610","GO:0072610","interleukin-12 secretion","3/547","10/18670",0.00257341164354825,0.0232528179603834,0.0191256026069428
"GO:0097048","GO:0097048","dendritic cell apoptotic process","3/547","10/18670",0.00257341164354825,0.0232528179603834,0.0191256026069428
"GO:2000668","GO:2000668","regulation of dendritic cell apoptotic process","3/547","10/18670",0.00257341164354825,0.0232528179603834,0.0191256026069428
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","19/547","317/18670",0.00267124338487924,0.0240829286418019,0.0198083743483997
"GO:0033044","GO:0033044","regulation of chromosome organization","20/547","342/18670",0.00277560935514687,0.0249681206802633,0.0205364508846408
"GO:0019884","GO:0019884","antigen processing and presentation of exogenous antigen","13/547","182/18670",0.00280496668017525,0.0251761342693951,0.0207075434915394
"GO:0030099","GO:0030099","myeloid cell differentiation","23/547","416/18670",0.00283841131432487,0.0254198299302841,0.0209079848477285
"GO:0042533","GO:0042533","tumor necrosis factor biosynthetic process","5/547","34/18670",0.00292050780981376,0.0259943464007241,0.0213805285937596
"GO:0042534","GO:0042534","regulation of tumor necrosis factor biosynthetic process","5/547","34/18670",0.00292050780981376,0.0259943464007241,0.0213805285937596
"GO:0051383","GO:0051383","kinetochore organization","4/547","21/18670",0.00293307770559925,0.0259943464007241,0.0213805285937596
"GO:1901739","GO:1901739","regulation of myoblast fusion","4/547","21/18670",0.00293307770559925,0.0259943464007241,0.0213805285937596
"GO:0001894","GO:0001894","tissue homeostasis","15/547","227/18670",0.00293474175754647,0.0259943464007241,0.0213805285937596
"GO:0002686","GO:0002686","negative regulation of leukocyte migration","6/547","49/18670",0.00295429634477241,0.0261102908895749,0.0214758937328152
"GO:0046718","GO:0046718","viral entry into host cell","10/547","121/18670",0.00297036804793472,0.0261950142917212,0.0215455793134497
"GO:0046328","GO:0046328","regulation of JNK cascade","13/547","185/18670",0.00322965283152027,0.0284195376612427,0.0233752650757436
"GO:0051983","GO:0051983","regulation of chromosome segregation","9/547","103/18670",0.00325965633664993,0.0286211998776719,0.0235411336349363
"GO:0042092","GO:0042092","type 2 immune response","5/547","35/18670",0.00332652029904811,0.0290818517053146,0.0239200229295873
"GO:0060251","GO:0060251","regulation of glial cell proliferation","5/547","35/18670",0.00332652029904811,0.0290818517053146,0.0239200229295873
"GO:0002638","GO:0002638","negative regulation of immunoglobulin production","3/547","11/18670",0.0034618980009332,0.0300632378217,0.0247272197561369
"GO:0033632","GO:0033632","regulation of cell-cell adhesion mediated by integrin","3/547","11/18670",0.0034618980009332,0.0300632378217,0.0247272197561369
"GO:0071803","GO:0071803","positive regulation of podosome assembly","3/547","11/18670",0.0034618980009332,0.0300632378217,0.0247272197561369
"GO:0031497","GO:0031497","chromatin assembly","12/547","165/18670",0.00346854885489285,0.0300632378217,0.0247272197561369
"GO:0019883","GO:0019883","antigen processing and presentation of endogenous antigen","4/547","22/18670",0.00350285024458697,0.0302307951664247,0.0248650368239237
"GO:0045624","GO:0045624","positive regulation of T-helper cell differentiation","4/547","22/18670",0.00350285024458697,0.0302307951664247,0.0248650368239237
"GO:0002791","GO:0002791","regulation of peptide secretion","26/547","500/18670",0.00357978631577864,0.0308289060328996,0.025356987122876
"GO:0030071","GO:0030071","regulation of mitotic metaphase/anaphase transition","6/547","51/18670",0.00362242219098443,0.0311297089986938,0.0256043996298922
"GO:0033627","GO:0033627","cell adhesion mediated by integrin","7/547","68/18670",0.00369145702501425,0.031655615549963,0.0260369613832719
"GO:0051783","GO:0051783","regulation of nuclear division","13/547","188/18670",0.0037052550243761,0.0317066208547777,0.0260789135970807
"GO:0032733","GO:0032733","positive regulation of interleukin-10 production","5/547","36/18670",0.00377158887252692,0.0321380748019752,0.0264337874343659
"GO:1902622","GO:1902622","regulation of neutrophil migration","5/547","36/18670",0.00377158887252692,0.0321380748019752,0.0264337874343659
"GO:0002224","GO:0002224","toll-like receptor signaling pathway","11/547","146/18670",0.00385356975586943,0.0327675120925403,0.026951503932463
"GO:0032703","GO:0032703","negative regulation of interleukin-2 production","4/547","23/18670",0.00414337639104602,0.0351577673181405,0.0289175052855844
"GO:0038083","GO:0038083","peptidyl-tyrosine autophosphorylation","5/547","37/18670",0.00425772728673219,0.0360523281155374,0.0296532876904487
"GO:0007254","GO:0007254","JNK cascade","14/547","214/18670",0.00435466909307618,0.036796042817855,0.0302649981452289
"GO:0032872","GO:0032872","regulation of stress-activated MAPK cascade","15/547","237/18670",0.00438836389049419,0.0369188721813612,0.0303660261410135
"GO:0045840","GO:0045840","positive regulation of mitotic nuclear division","6/547","53/18670",0.00439662726398483,0.0369188721813612,0.0303660261410135
"GO:1902099","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","6/547","53/18670",0.00439662726398483,0.0369188721813612,0.0303660261410135
"GO:0038110","GO:0038110","interleukin-2-mediated signaling pathway","3/547","12/18670",0.00451616572996661,0.0374554278918586,0.0308073469010583
"GO:0042368","GO:0042368","vitamin D biosynthetic process","3/547","12/18670",0.00451616572996661,0.0374554278918586,0.0308073469010583
"GO:0046541","GO:0046541","saliva secretion","3/547","12/18670",0.00451616572996661,0.0374554278918586,0.0308073469010583
"GO:0048934","GO:0048934","peripheral nervous system neuron differentiation","3/547","12/18670",0.00451616572996661,0.0374554278918586,0.0308073469010583
"GO:0048935","GO:0048935","peripheral nervous system neuron development","3/547","12/18670",0.00451616572996661,0.0374554278918586,0.0308073469010583
"GO:0070601","GO:0070601","centromeric sister chromatid cohesion","3/547","12/18670",0.00451616572996661,0.0374554278918586,0.0308073469010583
"GO:0070302","GO:0070302","regulation of stress-activated protein kinase signaling cascade","15/547","239/18670",0.00473978979742427,0.0392295307208947,0.0322665586727157
"GO:0007091","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","6/547","54/18670",0.00482648464393708,0.0397840234221671,0.0327226327309676
"GO:0010524","GO:0010524","positive regulation of calcium ion transport into cytosol","6/547","54/18670",0.00482648464393708,0.0397840234221671,0.0327226327309676
"GO:0032651","GO:0032651","regulation of interleukin-1 beta production","8/547","90/18670",0.00488148764339503,0.0400738386009604,0.0329610077076481
"GO:0051304","GO:0051304","chromosome separation","8/547","90/18670",0.00488148764339503,0.0400738386009604,0.0329610077076481
"GO:0002793","GO:0002793","positive regulation of peptide secretion","17/547","288/18670",0.00508225213273173,0.0416373557081206,0.0342470112755447
"GO:0043030","GO:0043030","regulation of macrophage activation","6/547","55/18670",0.00528643822315179,0.043135199966283,0.0354789984737205
"GO:0043551","GO:0043551","regulation of phosphatidylinositol 3-kinase activity","6/547","55/18670",0.00528643822315179,0.043135199966283,0.0354789984737205
"GO:0061844","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","7/547","73/18670",0.00547691151425431,0.0445148221814562,0.0366137472289065
"GO:0045807","GO:0045807","positive regulation of endocytosis","11/547","153/18670",0.00547756044173898,0.0445148221814562,0.0366137472289065
"GO:0032461","GO:0032461","positive regulation of protein oligomerization","4/547","25/18670",0.00565205010938842,0.0456572607836396,0.0375534108320628
"GO:0045672","GO:0045672","positive regulation of osteoclast differentiation","4/547","25/18670",0.00565205010938842,0.0456572607836396,0.0375534108320628
"GO:2000482","GO:2000482","regulation of interleukin-8 secretion","4/547","25/18670",0.00565205010938842,0.0456572607836396,0.0375534108320628
"GO:0051896","GO:0051896","regulation of protein kinase B signaling","15/547","244/18670",0.00571919558969597,0.0456725081618541,0.0375659519054512
"GO:0030656","GO:0030656","regulation of vitamin metabolic process","3/547","13/18670",0.00574440063040898,0.0456725081618541,0.0375659519054512
"GO:0035723","GO:0035723","interleukin-15-mediated signaling pathway","3/547","13/18670",0.00574440063040898,0.0456725081618541,0.0375659519054512
"GO:0042635","GO:0042635","positive regulation of hair cycle","3/547","13/18670",0.00574440063040898,0.0456725081618541,0.0375659519054512
"GO:0045779","GO:0045779","negative regulation of bone resorption","3/547","13/18670",0.00574440063040898,0.0456725081618541,0.0375659519054512
"GO:0071350","GO:0071350","cellular response to interleukin-15","3/547","13/18670",0.00574440063040898,0.0456725081618541,0.0375659519054512
"GO:0071352","GO:0071352","cellular response to interleukin-2","3/547","13/18670",0.00574440063040898,0.0456725081618541,0.0375659519054512
"GO:1900225","GO:1900225","regulation of NLRP3 inflammasome complex assembly","3/547","13/18670",0.00574440063040898,0.0456725081618541,0.0375659519054512
"GO:0044784","GO:0044784","metaphase/anaphase transition of cell cycle","6/547","56/18670",0.00577768297683427,0.045846879260184,0.0377093733324144
"GO:0014015","GO:0014015","positive regulation of gliogenesis","7/547","74/18670",0.00590036828499269,0.0466371575402847,0.0383593826499885
"GO:0050710","GO:0050710","negative regulation of cytokine secretion","7/547","74/18670",0.00590036828499269,0.0466371575402847,0.0383593826499885
"GO:0002369","GO:0002369","T cell cytokine production","5/547","40/18670",0.00598247861658389,0.0469188954026842,0.0385911139784134
"GO:0045124","GO:0045124","regulation of bone resorption","5/547","40/18670",0.00598247861658389,0.0469188954026842,0.0385911139784134
"GO:0098760","GO:0098760","response to interleukin-7","5/547","40/18670",0.00598247861658389,0.0469188954026842,0.0385911139784134
"GO:0098761","GO:0098761","cellular response to interleukin-7","5/547","40/18670",0.00598247861658389,0.0469188954026842,0.0385911139784134
"GO:0043491","GO:0043491","protein kinase B signaling","16/547","269/18670",0.00601028834406426,0.0470456484916193,0.0386953692653342
"GO:0030260","GO:0030260","entry into host cell","10/547","134/18670",0.0061239140959391,0.0475663250644193,0.0391236293254733
"GO:0044409","GO:0044409","entry into host","10/547","134/18670",0.0061239140959391,0.0475663250644193,0.0391236293254733
"GO:0051806","GO:0051806","entry into cell of other organism involved in symbiotic interaction","10/547","134/18670",0.0061239140959391,0.0475663250644193,0.0391236293254733
"GO:0051828","GO:0051828","entry into other organism involved in symbiotic interaction","10/547","134/18670",0.0061239140959391,0.0475663250644193,0.0391236293254733
"GO:0030198","GO:0030198","extracellular matrix organization","20/547","368/18670",0.00623551921775434,0.0483402343963719,0.0397601750706793
"GO:0010965","GO:0010965","regulation of mitotic sister chromatid separation","6/547","57/18670",0.00630141160641837,0.0487574740964058,0.0401033575919669
"GO:0002218","GO:0002218","activation of innate immune response","18/547","319/18670",0.00634273367235452,0.0489833676914721,0.0402891566266496
