"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue"
"GO:0032649","GO:0032649","regulation of interferon-gamma production","13/409","101/18670",3.15270448776079e-07,1.77293264135254e-05,1.50949148307184e-05
"GO:0033077","GO:0033077","T cell differentiation in thymus","11/409","70/18670",3.30711694019949e-07,1.83281379410476e-05,1.56047485828177e-05
"GO:0098813","GO:0098813","nuclear chromosome segregation","21/409","262/18670",3.53628711444955e-07,1.92248800265087e-05,1.63682432068904e-05
"GO:0016064","GO:0016064","immunoglobulin mediated immune response","19/409","218/18670",3.56947301747416e-07,1.92248800265087e-05,1.63682432068904e-05
"GO:0002440","GO:0002440","production of molecular mediator of immune response","22/409","286/18670",3.77621769161319e-07,2.00559117399012e-05,1.70757914037421e-05
"GO:0019724","GO:0019724","B cell mediated immunity","19/409","221/18670",4.40762610216378e-07,2.30887153625675e-05,1.96579488593981e-05
"GO:0002295","GO:0002295","T-helper cell lineage commitment","6/409","16/18670",7.08508678290799e-07,3.61317618803449e-05,3.07629210239779e-05
"GO:0002822","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","15/409","145/18670",7.08651187506765e-07,3.61317618803449e-05,3.07629210239779e-05
"GO:1903706","GO:1903706","regulation of hemopoiesis","29/409","475/18670",7.37352884184025e-07,3.71004924884173e-05,3.158770735154e-05
"GO:0030888","GO:0030888","regulation of B cell proliferation","10/409","61/18670",7.59196800298318e-07,3.77034878485814e-05,3.2101103258e-05
"GO:0035710","GO:0035710","CD4-positive, alpha-beta T cell activation","12/409","92/18670",7.76969966274185e-07,3.80914506542626e-05,3.24314184303111e-05
"GO:0046634","GO:0046634","regulation of alpha-beta T cell activation","12/409","93/18670",8.74672220278916e-07,4.23385641816022e-05,3.60474507304822e-05
"GO:0043373","GO:0043373","CD4-positive, alpha-beta T cell lineage commitment","6/409","17/18670",1.0747740545021e-06,5.13741998052005e-05,4.37404756654605e-05
"GO:0030183","GO:0030183","B cell differentiation","14/409","131/18670",1.1220800577014e-06,5.29732609956809e-05,4.51019313641381e-05
"GO:0006959","GO:0006959","humoral immune response","24/409","356/18670",1.22058130250541e-06,5.69207670826913e-05,4.84628750789375e-05
"GO:0042035","GO:0042035","regulation of cytokine biosynthetic process","13/409","114/18670",1.29450671309331e-06,5.96408876008289e-05,5.0778811206057e-05
"GO:0002705","GO:0002705","positive regulation of leukocyte mediated immunity","14/409","133/18670",1.34832845928286e-06,6.13810479559245e-05,5.22604000571665e-05
"GO:0001773","GO:0001773","myeloid dendritic cell activation","7/409","28/18670",1.8298706391929e-06,8.23226508738078e-05,7.0090277238683e-05
